Official_name,Old_name,SKY,NGVS_ra,NGVS_dec,x_g_gal,y_g_gal,Nuc_Flag,Index,Size,AxisRatio,PA,principleg_mag_cg
NGVSJ12:23:54.73+11:29:25.4,NGVS185.97798+11.490566_VCC679,0.002,185.9780577,11.4903966,-100.0,-100.0,1,60,59.417112625856454,0.4974,-47.15,15.644
NGVSJ12:23:57.84+16:41:36.0,NGVS185.99109+16.693303_VCC685,0.512,185.99100990000002,16.6933384,-100.0,-100.0,1,61,80.94117475703439,0.6864,28.21,11.245
NGVSJ12:24:01.50+12:12:17.0,NGVS186.00631+12.204766_VCC692,0.11699999999999999,186.0062542,12.204709300000001,-100.0,-100.0,1,62,132.0427777295444,0.6081,68.66,12.722999999999999
NGVSJ12:24:05.03+11:13:05.1,NGVS186.021+11.218072_VCC698,0.027999999999999997,186.02094430000002,11.2180718,-100.0,-100.0,1,63,83.33155178131267,0.6785,-83.19,12.917
NGVSJ12:24:05.53+07:02:28.7,NGVS186.0231+7.0413863_VCC697,0.212,186.0230378,7.0413133000000006,-100.0,-100.0,1,64,120.56149773419222,0.7963,47.49,13.588
NGVSJ12:24:07.55+06:36:27.4,NGVS186.03178+6.6072211_VCC699,0.331,186.03144609999998,6.6076071,-100.0,-100.0,1,65,67.59358472365109,0.79760003,3.01,13.333
NGVSJ12:24:14.67+08:32:12.6,NGVS186.06124+8.5366243_VCC713,0.256,186.0611265,8.5368323,-100.0,-100.0,1,66,132.22994268896747,0.20950001,39.48,13.056
NGVSJ12:24:21.82+13:01:47.7,NGVS186.09094+13.02989_VCC723,1.0,186.0908996,13.029926800000002,-100.0,-100.0,1,67,32.058822917428245,0.68869996,-20.13,14.012
NGVSJ12:24:28.26+07:19:04.0,NGVS186.11777+7.3177958_VCC731,0.441,186.11773,7.3177697,-100.0,-100.0,1,68,403.0267236067012,0.7475,43.23,9.799
NGVSJ12:24:49.57+06:45:34.4,NGVS186.20655+6.7595565_VCC750,0.15,186.2065252,6.7595615,-100.0,-100.0,1,69,87.9572190065435,0.8264,61.91,14.754000000000001
